"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Marte, Ketel",606466,"AZ","SL","Slider",0.6,1,"136",18.4,"36","0.194","0.355","0.297",26.3,19.4,16.7,"0.264","0.484","0.369",41.7
"Tawa, Tim",694374,"AZ","SL","Slider",-3.7,-4,"110",22,"36","0.118","0.206","0.169",42.9,41.7,32.6,"0.177","0.277","0.223",26.3
"Bellinger, Cody",641355,"NYY","SI","Sinker",0.5,1,"150",13.3,"36","0.345","0.517","0.415",11.7,5.6,7.7,"0.316","0.469","0.387",50
"Domínguez, Jasson",691176,"NYY","SL","Slider",0.8,1,"140",15.8,"36","0.267","0.467","0.376",38.7,33.3,25,"0.278","0.537","0.403",61.1
"Ward, Taylor",621493,"LAA","ST","Sweeper",-1.3,-2,"162",13.1,"36","0.182","0.364","0.231",27.3,38.9,22.6,"0.117","0.176","0.135",28.6
"Lowe, Nathaniel",663993,"WSH","SL","Slider",-0.2,0,"155",12.6,"36","0.176","0.412","0.269",29.2,27.8,16.7,"0.165","0.328","0.235",41.7
"India, Jonathan",663697,"KC","SL","Slider",-1.3,-2,"178",15.5,"36","0.235","0.353","0.26",27.8,11.1,7.4,"0.272","0.359","0.277",22.6
"Bader, Harrison",664056,"MIN","SL","Slider",1.2,2,"159",19.5,"36","0.226","0.71","0.386",35.9,33.3,23.1,"0.204","0.563","0.333",28.6
"Dubón, Mauricio",643289,"HOU","FF","4-Seam Fastball",-2.4,-3,"126",31.3,"36","0.188","0.281","0.239",16,5.6,5.7,"0.24","0.298","0.267",29
"Herrera, Iván",671056,"STL","SI","Sinker",1.9,3,"139",20.6,"36","0.375","0.5","0.456",21.2,11.1,15.4,"0.321","0.442","0.372",32.1
"Canario, Alexander",672744,"PIT","FF","4-Seam Fastball",0.8,1,"132",25.1,"36","0.207","0.448","0.382",34.7,22.2,20,"0.234","0.479","0.376",57.1
"Valdez, Enmanuel",665839,"PIT","FF","4-Seam Fastball",1.2,2,"133",33.8,"36","0.233","0.433","0.353",21.3,16.7,15,"0.307","0.583","0.43",45.8
