"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Schmidt, Clarke",657376,"NYY","ST","Sweeper",-0.5,-4,"743",27.4,"160","0.276","0.559","0.391",26.3,22.5,18.8,"0.267","0.486","0.347",37.8
"Assad, Javier",665871,"CHC","SI","Sinker",2.2,11,"523",30.6,"160","0.219","0.336","0.272",14.6,23.1,30.6,"0.271","0.405","0.319",46.8
"Poche, Colin",621363,"TB","FF","4-Seam Fastball",1,6,"603",65,"160","0.234","0.365","0.307",22,18.1,18,"0.218","0.318","0.287",32.1
"Mayza, Tim",641835,"TOR","SI","Sinker",1.4,9,"619",76.5,"159","0.26","0.349","0.299",21.7,23.3,25,"0.25","0.346","0.289",38.2
"Lawrence, Justin",664875,"COL","SI","Sinker",-1,-6,"607",51.3,"159","0.333","0.488","0.422",11.5,9.4,18.8,"0.293","0.419","0.379",49.2
"Peralta, Freddy",642547,"MIL","SL","Slider",0.2,1,"618",21.8,"159","0.203","0.392","0.296",46.2,35.2,25.3,"0.221","0.377","0.299",35.6
"Gonsolin, Tony",664062,"LAD","FF","4-Seam Fastball",1.5,10,"656",39.4,"158","0.221","0.436","0.322",15.7,14.6,16.3,"0.261","0.544","0.368",49.2
"López, Pablo",641154,"MIN","ST","Sweeper",1.5,10,"649",21.5,"157","0.173","0.287","0.215",36.5,36.3,22.6,"0.176","0.265","0.208",22.3
"Houck, Tanner",656557,"BOS","SL","Slider",1.1,7,"647",37.2,"157","0.181","0.29","0.256",38.6,29.3,21.6,"0.209","0.354","0.283",32.6
"Bautista, Félix",642585,"BAL","SI","Sinker",2.1,15,"696",70.4,"157","0.157","0.246","0.258",37.8,37.6,32.6,"0.173","0.3","0.273",34.7
"Wainwright, Adam",425794,"STL","CU","Curveball",-1.3,-7,"549",30.8,"157","0.291","0.475","0.361",15.3,11.5,9.7,"0.318","0.549","0.39",32.5
"Wheeler, Zack",554430,"PHI","SI","Sinker",2.2,12,"574",18.2,"157","0.247","0.301","0.274",19.7,19.1,20.1,"0.241","0.286","0.263",28.4
"Santos, Gregory",666619,"CWS","SL","Slider",2.7,15,"551",52.6,"156","0.196","0.203","0.223",37.5,30.8,26.7,"0.202","0.257","0.224",29
"Jax, Griffin",643377,"MIN","ST","Sweeper",0.2,1,"552",52.7,"156","0.199","0.322","0.271",28.7,30.1,22.8,"0.193","0.307","0.244",31.3
"Curry, Xzavion",675540,"CLE","SL","Slider",0.9,5,"539",36.1,"156","0.238","0.361","0.276",23.2,17.9,16.8,"0.259","0.432","0.31",40.5
"Pagán, Emilio",641941,"MIN","FF","4-Seam Fastball",2.1,12,"584",55,"155","0.188","0.326","0.265",24.6,28.4,24.3,"0.209","0.415","0.306",47.9
"Vesia, Alex",681911,"LAD","FF","4-Seam Fastball",0.7,4,"579",67.9,"155","0.273","0.42","0.335",27.9,28.4,23.8,"0.233","0.392","0.299",43.4
"Matz, Steven",571927,"STL","CH","Changeup",0.2,1,"511",27.4,"155","0.291","0.405","0.326",28.9,21.9,16.5,"0.268","0.39","0.301",36
"Wainwright, Adam",425794,"STL","SI","Sinker",-4.2,-24,"560",31.4,"154","0.394","0.746","0.499",9.4,14.3,18.2,"0.339","0.635","0.432",49.2
"Castillo, Luis",622491,"SEA","SL","Slider",-0.2,-2,"710",22.1,"154","0.234","0.455","0.311",37.8,33.1,25.1,"0.21","0.355","0.261",39.6
"Farmer, Buck",571656,"CIN","FF","4-Seam Fastball",-0.2,-1,"525",43,"154","0.244","0.481","0.354",17.3,17.5,17.9,"0.244","0.471","0.348",41.7
"Harvey, Hunter",640451,"WSH","FF","4-Seam Fastball",0.9,5,"578",60,"153","0.216","0.396","0.297",26.5,32,25.3,"0.221","0.424","0.304",45.7
"Luzardo, Jesús",666200,"MIA","CH","Changeup",-0.1,-1,"626",21,"153","0.248","0.429","0.347",36.1,21.6,18.1,"0.223","0.381","0.308",28.4
"Rogers, Tyler",643511,"SF","SL","Slider",0.7,4,"549",48.8,"153","0.187","0.338","0.27",33.4,29.4,23.9,"0.161","0.258","0.224",19.8
"Cano, Yennier",666974,"BAL","SI","Sinker",2.2,12,"562",55.3,"152","0.243","0.35","0.293",12.9,11.8,17.3,"0.255","0.34","0.295",43.1
